City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Samfya,ZM,2019-11-30 02:00:41,-11.37,29.56,64.98,91,96,3.44
123,Harer,US,2019-11-30 02:00:42,42.19,-111.17,28.99,92,90,8.05
124,Hinton,CA,2019-11-30 02:00:24,53.4,-117.57,5.0,63,0,2.75
125,Altamira,BR,2019-11-30 01:57:40,-3.2,-52.21,75.79,87,1,2.04
126,Labuhan,ID,2019-11-30 02:00:43,-2.54,115.51,90.05,59,100,2.59
127,Grand Gaube,MU,2019-11-30 02:00:43,-20.01,57.66,75.2,94,75,3.36
128,Mazatlan,MX,2019-11-30 01:56:03,23.22,-106.42,79.0,83,5,9.17
129,Yarmouth,CA,2019-11-30 01:56:42,43.84,-66.12,28.0,73,90,33.33
130,Cabinda,AO,2019-11-30 02:00:43,-5.56,12.19,80.35,78,83,9.04
131,Bredasdorp,ZA,2019-11-30 02:00:44,-34.53,20.04,66.2,68,100,6.93
132,Nalut,LY,2019-11-30 02:00:44,31.86,10.98,56.07,61,4,0.58
133,Socorro,US,2019-11-30 02:00:44,31.65,-106.3,51.8,70,90,12.75
134,Bilibino,RU,2019-11-30 02:00:44,68.06,166.44,2.95,92,100,7.36
135,Alice Springs,AU,2019-11-30 02:00:01,-23.7,133.88,82.4,30,75,19.46
136,Iqaluit,CA,2019-11-30 01:58:34,63.75,-68.52,24.8,62,90,11.41
137,Berlevag,NO,2019-11-30 02:00:45,70.86,29.09,37.17,67,79,31.12
138,Valparaiso,US,2019-11-30 01:59:49,41.47,-87.06,39.99,93,90,6.89
139,Puerto Ayora,EC,2019-11-30 02:00:45,-0.74,-90.35,71.01,88,78,8.25
140,Riyadh,SA,2019-11-30 01:59:26,24.63,46.72,60.8,72,0,2.84
141,Barra Patuca,HN,2019-11-30 02:00:46,15.8,-84.28,80.65,76,100,18.59
142,Luderitz,NA,2019-11-30 02:00:46,-26.65,15.16,60.8,82,0,13.87
143,Ofaqim,IL,2019-11-30 02:00:46,31.31,34.62,51.01,87,60,1.99
144,Tuktoyaktuk,CA,2019-11-30 02:00:47,69.44,-133.03,14.0,85,75,9.17
145,Salalah,OM,2019-11-30 02:00:47,17.01,54.1,75.2,53,68,10.29
146,Morristown,US,2019-11-30 01:58:55,36.21,-83.29,48.2,70,90,5.1
147,Prince Rupert,CA,2019-11-30 01:58:51,54.32,-130.32,32.0,46,1,3.36
